"goal","target","Unit","Date","Value"
"Goal 1. End poverty in all its forms everywhere","Proportion of the poorest quintile population covered by social insurance programs. Age group Total. Sex Total. Location Total","%","2010","0"
"Goal 1. End poverty in all its forms everywhere","Proportion of the poorest quintile population covered by social insurance programs. Age group Total. Sex Total. Location Total","%","2012","0.07"
"Goal 1. End poverty in all its forms everywhere","National and local disaster risk reduction strategies. Age group Total. Sex Total. Location Total","Number","2013","0"
"Goal 1. End poverty in all its forms everywhere","National and local disaster risk reduction strategies. Age group Total. Sex Total. Location Total","Number","2015","1"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Prevalence of undernourishment. Age group Total. Sex Total. Location Total","%","2001","9.2"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Prevalence of undernourishment. Age group Total. Sex Total. Location Total","%","2002","8.9"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Prevalence of undernourishment. Age group Total. Sex Total. Location Total","%","2003","9"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Prevalence of undernourishment. Age group Total. Sex Total. Location Total","%","2004","8.7"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Prevalence of undernourishment. Age group Total. Sex Total. Location Total","%","2005","8.1"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Prevalence of undernourishment. Age group Total. Sex Total. Location Total","%","2006","7.2"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Prevalence of undernourishment. Age group Total. Sex Total. Location Total","%","2007","6.5"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Prevalence of undernourishment. Age group Total. Sex Total. Location Total","%","2008","6"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Prevalence of undernourishment. Age group Total. Sex Total. Location Total","%","2009","5.9"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Prevalence of undernourishment. Age group Total. Sex Total. Location Total","%","2010","6"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Prevalence of undernourishment. Age group Total. Sex Total. Location Total","%","2011","6.1"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Prevalence of undernourishment. Age group Total. Sex Total. Location Total","%","2012","6.2"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Prevalence of undernourishment. Age group Total. Sex Total. Location Total","%","2013","6.3"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Prevalence of undernourishment. Age group Total. Sex Total. Location Total","%","2014","6.5"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Prevalence of undernourishment. Age group Total. Sex Total. Location Total","%","2015","6.7"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Prevalence of undernourishment. Age group Total. Sex Total. Location Total","%","2016","7"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Proportion of stunted children (height for age below minus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","%","1990","50.5"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Proportion of stunted children (height for age below minus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","%","1993","43.8"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Proportion of stunted children (height for age below minus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","%","2003","43"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Proportion of stunted children (height for age below minus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","%","2007","42.8"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Proportion of stunted children (height for age below minus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","%","2008","41"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Proportion of stunted children (height for age below minus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","%","2011","36"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Proportion of stunted children (height for age below minus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","%","2013","36.4"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Proportion of stunted children (height for age below minus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","%","2014","32.9"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Number of stunted children (height for age below minus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","Number (Thousands)","1990","8488.4"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Number of stunted children (height for age below minus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","Number (Thousands)","1993","7813.96"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Number of stunted children (height for age below minus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","Number (Thousands)","2003","9905.48"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Number of stunted children (height for age below minus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","Number (Thousands)","2007","11028.62"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Number of stunted children (height for age below minus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","Number (Thousands)","2008","10821.56"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Number of stunted children (height for age below minus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","Number (Thousands)","2011","10228.06"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Number of stunted children (height for age below minus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","Number (Thousands)","2013","10853.09"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Number of stunted children (height for age below minus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","Number (Thousands)","2014","10028.85"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Proportion of wasted children (weight for height below minus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","%","1990","11.8"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Proportion of wasted children (weight for height below minus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","%","1993","20.6"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Proportion of wasted children (weight for height below minus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","%","2003","11.2"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Proportion of wasted children (weight for height below minus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","%","2007","13.4"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Proportion of wasted children (weight for height below minus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","%","2008","14.4"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Proportion of wasted children (weight for height below minus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","%","2011","10.2"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Proportion of wasted children (weight for height below minus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","%","2013","18.1"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Proportion of wasted children (weight for height below minus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","%","2014","7.9"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Number of wasted children (weight for height below minus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","Number (Thousands)","1990","1983.43"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Number of wasted children (weight for height below minus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","Number (Thousands)","1993","3675.06"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Number of wasted children (weight for height below minus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","Number (Thousands)","2003","2580.03"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Number of wasted children (weight for height below minus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","Number (Thousands)","2007","3452.89"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Number of wasted children (weight for height below minus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","Number (Thousands)","2008","3800.74"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Number of wasted children (weight for height below minus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","Number (Thousands)","2011","2897.95"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Number of wasted children (weight for height below minus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","Number (Thousands)","2013","5396.73"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Number of wasted children (weight for height below minus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","Number (Thousands)","2014","2408.14"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Proportion of overweight children (weight for height above plus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","%","1990","3.2"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Proportion of overweight children (weight for height above plus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","%","1993","5.5"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Proportion of overweight children (weight for height above plus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","%","2003","6.2"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Proportion of overweight children (weight for height above plus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","%","2007","13.3"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Proportion of overweight children (weight for height above plus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","%","2008","10.5"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Proportion of overweight children (weight for height above plus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","%","2011","3"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Proportion of overweight children (weight for height above plus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","%","2013","4.9"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Proportion of overweight children (weight for height above plus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","%","2014","1.8"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Number of overweight children (weight for height above plus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","Number (Thousands)","1990","537.88"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Number of overweight children (weight for height above plus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","Number (Thousands)","1993","981.2"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Number of overweight children (weight for height above plus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","Number (Thousands)","2003","1428.23"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Number of overweight children (weight for height above plus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","Number (Thousands)","2007","3427.12"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Number of overweight children (weight for height above plus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","Number (Thousands)","2008","2771.38"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Number of overweight children (weight for height above plus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","Number (Thousands)","2011","852.34"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Number of overweight children (weight for height above plus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","Number (Thousands)","2013","1460.99"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Number of overweight children (weight for height above plus two standard deviations from the median) under the age of 5 years. Age group Under 5. Sex Total. Location Total","Number (Thousands)","2014","548.69"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Proportion of local breeds classified as being at risk of extinction. Age group Total. Sex Total. Location Total","%","2016","0"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Number of local breeds classified as being at risk of extinction. Age group Total. Sex Total. Location Total","Number","2016","0"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Proportion of local breeds classified as being not-at-risk of extinction. Age group Total. Sex Total. Location Total","%","2016","0"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Number of local breeds classified as being not-at-risk of extinction. Age group Total. Sex Total. Location Total","Number","2016","0"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Proportion of local breeds classified as being at unknown level of risk of extinction. Age group Total. Sex Total. Location Total","%","2016","1"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Number of local breeds classified as being at unknown level of risk of extinction. Age group Total. Sex Total. Location Total","Number","2016","16"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","The agriculture orientation index for government expenditures. Age group Total. Sex Total. Location Total","","2003","0.04"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","The agriculture orientation index for government expenditures. Age group Total. Sex Total. Location Total","","2004","0.13"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","The agriculture orientation index for government expenditures. Age group Total. Sex Total. Location Total","","2005","0.16"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","The agriculture orientation index for government expenditures. Age group Total. Sex Total. Location Total","","2006","0.21"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","The agriculture orientation index for government expenditures. Age group Total. Sex Total. Location Total","","2007","0.2"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","The agriculture orientation index for government expenditures. Age group Total. Sex Total. Location Total","","2008","0.21"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","The agriculture orientation index for government expenditures. Age group Total. Sex Total. Location Total","","2009","0.16"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","The agriculture orientation index for government expenditures. Age group Total. Sex Total. Location Total","","2010","0.11"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","The agriculture orientation index for government expenditures. Age group Total. Sex Total. Location Total","","2011","0.1"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","The agriculture orientation index for government expenditures. Age group Total. Sex Total. Location Total","","2012","0.1"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","The agriculture orientation index for government expenditures. Age group Total. Sex Total. Location Total","","2013","0.09"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Total official flows disbursements for agriculture, by recipient. Age group Total. Sex Total. Location Total","Constant USD (Millions)","2000","29.88"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Total official flows disbursements for agriculture, by recipient. Age group Total. Sex Total. Location Total","Constant USD (Millions)","2001","64.56"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Total official flows disbursements for agriculture, by recipient. Age group Total. Sex Total. Location Total","Constant USD (Millions)","2002","16.64"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Total official flows disbursements for agriculture, by recipient. Age group Total. Sex Total. Location Total","Constant USD (Millions)","2003","11.63"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Total official flows disbursements for agriculture, by recipient. Age group Total. Sex Total. Location Total","Constant USD (Millions)","2004","17.74"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Total official flows disbursements for agriculture, by recipient. Age group Total. Sex Total. Location Total","Constant USD (Millions)","2005","29.02"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Total official flows disbursements for agriculture, by recipient. Age group Total. Sex Total. Location Total","Constant USD (Millions)","2006","60.81"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Total official flows disbursements for agriculture, by recipient. Age group Total. Sex Total. Location Total","Constant USD (Millions)","2007","30.93"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Total official flows disbursements for agriculture, by recipient. Age group Total. Sex Total. Location Total","Constant USD (Millions)","2008","29.68"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Total official flows disbursements for agriculture, by recipient. Age group Total. Sex Total. Location Total","Constant USD (Millions)","2009","51.2"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Total official flows disbursements for agriculture, by recipient. Age group Total. Sex Total. Location Total","Constant USD (Millions)","2010","113.92"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Total official flows disbursements for agriculture, by recipient. Age group Total. Sex Total. Location Total","Constant USD (Millions)","2011","112.94"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Total official flows disbursements for agriculture, by recipient. Age group Total. Sex Total. Location Total","Constant USD (Millions)","2012","127.77"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Total official flows disbursements for agriculture, by recipient. Age group Total. Sex Total. Location Total","Constant USD (Millions)","2013","141.83"
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Total official flows disbursements for agriculture, by recipient. Age group Total. Sex Total. Location Total","Constant USD (Millions)","2014","223.44"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Maternal mortality ratio. Age group Total. Sex Total. Location Total","per 100,000 live births","1990","1350"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Maternal mortality ratio. Age group Total. Sex Total. Location Total","per 100,000 live births","1991","1320"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Maternal mortality ratio. Age group Total. Sex Total. Location Total","per 100,000 live births","1992","1300"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Maternal mortality ratio. Age group Total. Sex Total. Location Total","per 100,000 live births","1993","1280"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Maternal mortality ratio. Age group Total. Sex Total. Location Total","per 100,000 live births","1994","1270"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Maternal mortality ratio. Age group Total. Sex Total. Location Total","per 100,000 live births","1995","1250"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Maternal mortality ratio. Age group Total. Sex Total. Location Total","per 100,000 live births","1996","1250"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Maternal mortality ratio. Age group Total. Sex Total. Location Total","per 100,000 live births","1997","1240"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Maternal mortality ratio. Age group Total. Sex Total. Location Total","per 100,000 live births","1998","1220"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Maternal mortality ratio. Age group Total. Sex Total. Location Total","per 100,000 live births","1999","1200"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Maternal mortality ratio. Age group Total. Sex Total. Location Total","per 100,000 live births","2000","1170"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Maternal mortality ratio. Age group Total. Sex Total. Location Total","per 100,000 live births","2001","1140"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Maternal mortality ratio. Age group Total. Sex Total. Location Total","per 100,000 live births","2002","1090"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Maternal mortality ratio. Age group Total. Sex Total. Location Total","per 100,000 live births","2003","1040"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Maternal mortality ratio. Age group Total. Sex Total. Location Total","per 100,000 live births","2004","986"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Maternal mortality ratio. Age group Total. Sex Total. Location Total","per 100,000 live births","2005","946"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Maternal mortality ratio. Age group Total. Sex Total. Location Total","per 100,000 live births","2006","890"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Maternal mortality ratio. Age group Total. Sex Total. Location Total","per 100,000 live births","2007","884"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Maternal mortality ratio. Age group Total. Sex Total. Location Total","per 100,000 live births","2008","829"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Maternal mortality ratio. Age group Total. Sex Total. Location Total","per 100,000 live births","2009","883"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Maternal mortality ratio. Age group Total. Sex Total. Location Total","per 100,000 live births","2010","867"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Maternal mortality ratio. Age group Total. Sex Total. Location Total","per 100,000 live births","2011","824"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Maternal mortality ratio. Age group Total. Sex Total. Location Total","per 100,000 live births","2012","819"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Maternal mortality ratio. Age group Total. Sex Total. Location Total","per 100,000 live births","2013","821"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Maternal mortality ratio. Age group Total. Sex Total. Location Total","per 100,000 live births","2014","820"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Maternal mortality ratio. Age group Total. Sex Total. Location Total","per 100,000 live births","2015","814"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Proportion of births attended by skilled health personnel. Age group Total. Sex Total. Location Total","%","1990","30.8"
